"x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "x12" "x13" "x14" "x15" "x16" "x17" "x18" "x19" "x20" "x21" "x22" "x23" "x24" "x25" "y"
3.689 3.785 2.993 2.598 2.737 5.456 3.194 3.103 3.211 2.974 3.094 1.956 5.215 2.537 3.47 3.985 2.796 2.928 2.699 3.028 3.828 2.859 2.37 3.868 2.634 24.804
5.398 6.674 4.715 6.591 6.553 6.01 6.965 6.757 5.685 6.79 5.726 5.129 5.474 4.906 7.206 6.083 6.506 5.05 5.046 6.218 5.984 4.762 5.894 5.288 7.391 42.489
5.261 4.885 4.937 4.277 5.387 4.355 5.034 5.43 4.764 3.738 4.468 5.119 3.68 5.335 4.698 4.409 5.348 5.297 6.021 4.281 5.34 3.976 3.772 4.728 4.932 32.744
3.472 3.941 3.895 4.193 3.232 4.988 3.54 2.839 2.998 2.697 5.52 3.411 5.115 3.51 2.904 3.335 4.107 3.18 3.94 4.385 3.848 3.327 4.05 3.321 3.138 27.989
5.686 4.887 4.575 4.195 5.389 3.841 4.413 3.827 4.701 4.799 6.185 4.781 4.946 4.476 5.101 5.276 4.269 4.708 4.432 5.394 5.294 4.943 5.117 6.297 4.371 28.728
6.965 6.539 5.674 6.073 6.511 7.035 5.635 5.918 4.659 5.825 5.182 6.083 6.123 5.336 5.534 5.831 7.449 5.635 5.559 6.733 6.573 5.162 5.056 4.478 5.328 42.246
6.309 6.821 5.753 7.05 8.141 6.306 5.171 7.214 6.966 5.755 6.778 6.114 6.32 5.474 5.963 6.287 6.805 6.177 6.65 6.794 5.401 6.248 6.588 5.706 6.377 45.649
4.034 4.382 5.102 4.679 4.352 4.724 4.474 5.18 4.366 4.326 4.702 5.693 4.925 3.807 5.111 5.684 4.638 4.278 5.271 4.639 4.772 5.126 4.042 4.527 4.407 28.242
5.114 4.505 4.188 4.735 5.357 4.79 4.231 4.039 4.137 4.902 4.125 4.38 5.827 4.577 4.603 5.967 4.944 5.128 4.64 5.017 4.189 4.918 5.55 4.877 5.622 40.247
4.467 3.732 3.238 3.96 3.763 3.905 4.497 4.397 3.515 3.99 3.487 3.345 3.456 4.702 4.12 3.072 2.352 2.908 3.225 3.361 3.976 3.759 4.772 3.925 3.29 26.83
4.544 4.067 6.055 5.508 4.84 4.52 6.514 5.139 5.224 6.835 6.001 6.419 5.797 5.695 4.616 4.355 3.275 5.062 5.028 6.019 6.074 5.737 5.111 5.068 5.793 31.784
4.74 4.412 3.479 6.392 5.093 4.292 4.197 4.511 4.181 4.547 3.331 4.556 3.448 4.069 4.709 4.145 6.291 4.174 4.729 4.973 5.213 4.767 5.428 4.456 3.328 33.294
4.195 5.976 5.41 6.543 5.615 4.816 5.339 6.16 5.62 5.152 4.394 4.882 5.972 6.174 4.144 4.18 4.955 6.451 5.196 5.637 4.644 5.728 4.958 5.114 5.956 38.488
5.313 5.193 5.721 3.968 6.239 5.918 5.444 6.103 4.805 5.157 5.196 6.576 6.167 4.528 6.029 5.438 5.647 6.222 5.396 5.26 6.388 5.027 5.584 5.454 4.933 35.334
4.552 5.97 5.405 5.38 5.112 6.583 5.716 6.104 5.91 5.58 6.06 5.662 6.651 6.015 5.538 4.903 6.447 6.035 4.944 6.228 6.944 5.297 6.126 5.465 5.031 37.662
4.141 4.065 4.558 6.422 4.144 5.957 5.067 4.208 3.296 4.106 3.973 3.978 4.782 5.94 4.736 4.61 4.931 4.254 3.843 4.896 4.56 4.6 5.382 4.835 2.739 31.103
4.979 5.64 4.859 5.032 5.415 5.625 6.035 5.437 5.081 4.467 5.542 6.457 4.633 5.57 5.722 6.152 5.596 5.001 5.78 4.843 4.229 5.607 5.935 5.431 5.036 37.754
4.319 4.425 4.048 3.665 4.002 2.783 3.151 1.987 2.179 4.323 4.155 3.916 3.448 3.662 3.691 3.248 2.431 4.66 3.97 4.759 4.54 3.956 3.934 3.859 4.936 30.776
3.978 5.158 4.331 5.232 3.142 4.238 4.157 4.773 5.213 4.667 5.324 3.727 4.879 4.599 3.987 3.832 3.759 3.769 4.568 4.386 5.3 4.581 4.728 4.936 3.595 36.563
4.603 4.767 4.687 5.45 3.433 4.145 4.19 5.257 3.616 4.231 5.141 5.43 4.106 3.978 4.014 3.343 3.279 4.779 4.247 3.957 5.475 4.121 4.141 4.467 4.803 33.89
4.207 2.688 3.824 3.909 4.19 2.843 2.143 2.617 2.457 3.052 2.774 1.909 3.004 4.425 3.688 4.114 3.84 1.656 2.74 3.638 4.453 3.318 3.433 3.386 3.171 28.707
6.441 4.616 5.143 4.381 6.063 3.108 4.852 4.562 4.472 5.344 6.329 4.309 4.65 5.021 5.831 4.665 4.715 5.156 5.679 4.444 5.254 4.88 4.334 6.391 5.009 36.984
3.894 6.383 4.516 5.626 5.92 5.337 6.473 5.47 4.078 6.034 5.11 5.243 3.841 5.072 4.961 5.799 5.143 3.644 4.825 5.174 5.369 5.156 5.178 5.567 4.902 37.714
3.852 5.507 5.032 4.465 5.043 4.232 4.382 5.287 4.274 4.962 5.842 4.743 4.282 4.604 4.913 4.685 4.365 4.588 4.709 4.836 3.987 5.154 4.908 5.401 4.438 31.878
5.256 6.676 4.329 5.961 5.732 5.434 4.631 6.161 6.274 6.803 5.58 6.789 5.2 5.917 4.803 5.395 4.967 4.574 5.809 5.177 5.991 4.755 4.95 5.867 5.639 35.437
3.743 5.019 4.752 3.11 4.672 3.544 5.106 4.8 4.869 4.065 4.081 4.379 3.744 5.176 4.876 3.999 3.951 4.268 4.225 4.277 5.325 5.318 4.459 5.028 5.113 33.441
4.928 2.849 4.231 3.363 4.752 3.533 2.731 3.764 3.298 4.342 3.535 3.587 4.042 5.295 4.097 5.075 4.237 4.747 3.633 4.193 3.544 4.308 4.131 3.545 4.572 30.334
5.78 4.765 5.129 5.741 5.298 5.323 4.726 4.86 5.535 5.947 5.335 5.657 4.6 5.132 5.665 5.758 5.161 4.732 6.08 6.65 5.686 4.94 5.311 4.357 4.634 33.009
4.314 4.424 3.807 4.036 4.017 4.305 4.017 3.958 4.811 6.202 5.3 2.896 3.193 4.744 4.386 4.934 6.154 4.156 3.892 6.282 3.888 4.072 4.121 4.534 3.928 28.187
6.957 5.976 5.995 7.23 4.99 6.847 6.38 5.748 4.687 6.17 5.314 5.349 6.076 6.931 6.339 5.602 5.217 6.088 6.611 6.161 6.786 6.669 5.701 5.85 5.362 41.406
6.692 4.43 4.44 5.289 4.252 4.571 4.998 5.408 5.427 5.05 3.668 5.165 4.696 4.865 4.563 3.191 5.473 5.47 4.041 4.009 4.187 4.835 4.547 4.207 3.749 38.046
5.724 5.087 5.695 5.265 5.734 4.481 6.081 5.685 5.58 6.065 5.796 5.917 5.819 4.929 7.302 5.295 5.193 5.245 5.771 6.991 4.704 4.286 3.385 5.7 5.092 37.986
6.823 5.047 4.292 6.23 5.734 4.939 4.492 5.174 5.491 3.704 4.435 6.014 4.802 5.288 4.816 5.572 5.152 5.203 5.138 4.694 4.359 5.902 5.306 6.643 5.555 38.108
3.745 4.892 4.918 4.547 4.514 3.413 3.743 4.592 5.252 3.193 4.949 5.275 3.681 4.664 5.079 4.308 5.159 3.735 4.397 4.098 5.694 3.966 4.757 3.6 4.697 31.46
4.746 5.825 7.167 6.473 6.587 6.546 6.205 5.13 6.299 6.967 6.557 5.882 5.81 7.02 6.079 6.142 6.43 6.623 5.467 6.427 6.303 5.046 6.574 5.218 5.883 38.987
6.037 4.969 6.252 6.664 5.354 5.054 6.437 6.312 5.16 6.115 5.652 4.907 4.207 5.497 4.988 5.675 5.806 5.64 4.809 5.101 5.543 6.016 4.99 5.136 4.27 37.678
4.388 3.496 4.123 5.39 5.196 4.208 6.037 6.103 4.273 5.063 4.553 4.781 5.699 5.518 5.03 4.891 5.24 5.376 4.809 6.055 5.447 5.806 4.55 5.305 5.281 33.703
5.413 4.543 4.666 4.145 5.934 5.499 4.514 5.875 5.165 5.69 4.341 4.988 4.289 5.835 6.03 4.715 5.196 4.96 5.648 6.093 4.794 4.989 5.057 5.306 6.301 33.241
6.613 6.127 5.862 5.78 5.135 5.367 4.596 5.195 4.844 5.341 4.392 4.37 5.755 6.208 5.542 6.542 5.312 4.189 6.092 5.998 6.382 4.731 5.519 5.921 5.433 39.982
3.988 4.459 5.274 4.018 4.354 3.967 4.616 7.038 4.421 4.693 5.107 5.792 5.173 5.457 4.867 5.003 4.779 4.96 5.745 4.894 4.876 5.394 7.274 4.981 5.488 31.343
2.633 1.684 2.951 2.376 2.862 4.123 1.775 3.644 2.975 3.301 1.73 3.691 2.845 4.194 2.839 3.741 4.017 2.733 2.923 1.351 2.041 2.562 2.078 2.982 2.991 22.905
6.159 4.311 6.033 4.214 4.204 4.585 5.367 4.958 5.33 4.554 5.65 5.538 5.172 4.218 4.947 6.508 5.916 4.102 6.734 4.651 6.093 5.327 5.198 4.96 5.407 37.47
4.395 3.154 4.462 5.584 3.819 5.484 4.855 4.098 5.131 4.952 4.158 4.634 3.204 3.947 5.909 4.42 4.888 5.176 4.568 5.224 5.778 4.787 5.264 5.499 4.99 33.41
4.324 5.705 5.581 4.53 5.811 5.25 5.745 5.64 5.485 4.227 5.831 5.086 5.665 5.687 5.302 5.246 5.236 5.453 5.297 3.933 5.648 4.712 4.581 3.374 4.988 35.841
5.439 4.964 5.255 4.468 5.174 6.158 6.334 5.718 4.776 5.992 4.845 4.373 5.203 5.916 5.456 6.324 5.868 6.627 5.225 4.426 5.691 4.882 5.904 5.291 5.18 32.82
5.607 5.594 6.62 6.139 6.639 6.058 6.021 5.692 5.431 5.272 5.783 5.214 6.265 5.776 6.432 7.58 6.848 6.323 6.27 5.839 5.897 6.513 6.139 5.872 4.408 42.039
4.652 4.565 5.527 3.889 3.137 3.883 5.204 4.242 5.435 3.386 4.046 4.233 4.707 4.99 5.618 4.697 3.827 3.814 4.297 5.002 3.749 6.118 4.525 3.931 4.417 32.108
6.705 6.887 6.774 5.296 6.467 5.718 5.395 5.53 6.772 5.256 5.274 6.751 5.404 4.133 4.478 5.718 4.801 5.64 6.874 6.77 6.175 7.632 6.12 5.977 5.936 39.598
4.99 6.255 5.364 4.211 5.331 6.013 5.707 6.916 4.729 4.606 4.49 5.288 4.923 3.738 5.532 5.124 5.892 5.349 5.514 5.76 4.498 4.292 5.176 5.566 5.789 38.661
6.433 6.102 6.413 4.73 6.697 6.435 5.905 4.872 5.26 5.722 6.298 4.884 6.135 5.416 5.646 6.624 5.573 6.119 5.168 4.769 6.314 6.482 5.875 4.569 5.282 42.566
5.701 4.349 4.751 5.549 4.693 5.966 5.246 5.075 6.836 6.065 6.936 5.76 5.564 6.507 6.221 5.926 5.537 5.86 5.025 5.79 5.176 6.213 5.447 5.82 5.586 33.31
6.151 4.514 5.838 5.225 5.885 5.838 5.202 5.384 5.514 4.915 5.218 5.331 5.407 5.686 5.168 6.1 6.829 4.777 7.728 4.023 5.175 4.281 5.868 6.394 5.544 44.318
4.244 3.764 4.678 3.413 4.614 4.357 5.34 3.521 4.776 4.223 4.597 4.649 3.789 4.049 4.52 3.54 3.491 4.068 3.17 6.253 3.755 4.863 4.707 4.233 3.58 22.865
4.359 5.095 3.534 5.639 5.403 4.324 5.705 5.271 4.291 5.328 5.432 4.496 5.051 5.79 4.839 4.562 5.224 5.312 5.251 5.559 4.758 4.809 4.155 5.569 3.617 35.646
5.013 5.596 6.392 5.288 5.292 4.537 4.726 5.502 5.19 4.817 5.489 5.496 5.059 5.139 5.613 6.038 5.327 5.445 6.775 6.294 4.65 5.619 5.609 5.027 6.311 36.379
4.661 5.272 3.839 4.76 4.781 5.288 2.41 4.435 4.617 3.461 3.846 4.054 3.178 2.326 4.184 5.252 4.323 4.489 4.249 4.331 5.272 5.457 3.75 5.152 4.425 33.794
4.922 4.319 3.692 5.28 4.213 3.88 4.915 4.709 7.325 3.661 4.065 4.869 5.317 3.931 6.315 3.816 4.758 4.062 4.077 4.581 3.223 5.107 5.345 4.564 4.267 29.804
5.287 5.522 4.808 4.927 5.848 6.366 4.632 4.884 6.101 4.582 5.922 5.668 4.281 5.476 5.914 7.123 4.993 6.096 4.993 4.712 5.91 5.365 5.887 5.347 4.828 35.778
7.566 4.662 4.312 5.608 5.088 6.236 4.966 5.963 5.604 6.734 4.985 5.518 6.616 3.959 6.745 3.966 5.809 5.439 5.114 5.789 5.849 5.721 5.956 5.546 5.096 35.703
6.056 6.324 4.926 5.333 4.648 6.9 5.403 4.85 5.124 4.622 5.022 4.742 4.931 5.1 5.588 6.485 5.295 5.108 4.954 6.07 6.104 5.167 4.071 6.229 4.308 38.531
4.896 4.748 3.977 3.319 4.153 2.94 3.962 4.809 4.041 4.976 4.168 4.759 3.247 4.835 5.348 3.995 4.485 4.288 4.324 4.527 4.781 4.413 5.281 4.456 4.304 32.235
3.884 4.091 4.374 4.224 5.247 4.238 4.841 3.753 2.592 4.536 6.436 3.845 4.543 5.42 3.993 3.822 3.154 4.803 3.542 5.28 3.878 2.921 4.414 3.342 4 33.646
4.866 5.508 6.616 5.259 5.497 6.288 6.209 7.007 5.791 6.214 6.27 6.918 7.37 5.704 7.028 6.557 6.011 5.894 5.672 6.543 5.179 4.602 7.458 6.285 5.521 38.745
5.487 4.64 5.483 5.264 4.007 4.651 4.858 6.325 5.323 6.513 6.322 5.489 5.649 5.735 4.732 4.809 4.003 5.577 4.7 4.11 5.35 4.904 4.842 5.117 5.761 34.666
4.54 5.068 4.529 6.345 5.461 5.978 5.153 5.145 4.533 4.111 5.399 5.819 4.166 4.309 5.071 4.817 4.702 4.375 5.693 5.582 5.024 4.55 4.329 6.186 5.709 35.702
4.105 4.103 4.265 5.527 5.401 5.177 4.597 3.743 5.062 4.996 6.006 5.2 4.554 3.179 5.199 3.78 6.518 5.576 6.004 5.193 3.784 4.895 5.1 4.429 6.43 38.06
3.789 4.071 3.974 3.577 3.399 4.119 4.923 3.86 3.651 4.229 4.656 4.956 5.273 4.375 3.993 3.713 4.262 4.266 2.837 4.556 3.593 5.434 3.941 4.306 3.717 30.938
3.756 6.585 4.682 5.306 5.486 6.315 5.52 6.246 6.273 5.54 4.73 5.417 4.471 5.179 5.926 4.98 4.703 5.878 4.595 6.059 6.023 5.366 4.956 5.789 6.253 35.667
5.183 4.532 6.362 5.176 4.931 5.29 4.657 3.805 4.778 5.935 4.624 6.114 4.122 4.513 6.02 5.04 3.545 5.835 4.934 4.681 4.883 3.921 3.357 4.101 4.746 39.935
5.206 5.048 4.255 4.047 4.386 5.849 4.399 6.866 5.409 4.449 2.879 5.748 4.609 3.34 4.85 5.263 6.486 4.819 5.084 4.664 4.254 5.194 5.244 4.908 4.449 34.07
5.665 6.519 4.298 5.2 6.999 6.409 5.474 4.716 5.722 5.532 4.141 5.891 4.923 5.274 6.272 6.771 6.317 5.03 7.215 6.026 5.139 5.593 6.739 4.332 5.63 38.433
6.678 5.315 5.005 5.287 5.295 5.628 4.733 5.982 5.252 4.889 6.128 5.842 5.672 4.231 5.136 5.976 6.683 5.47 5.726 6.687 5.882 4.886 5.412 6.105 5.914 35.029
4.81 6.073 7.222 6.078 5.745 7.012 5.49 5.17 6.479 6.129 5.674 6.544 5.91 6.617 5.121 6.496 5.531 6.615 5.327 5.348 6.187 5.078 6.764 6.904 5.776 40.794
3.92 5.698 4.369 5.325 4.873 4.893 3.765 4.838 4.575 5.033 4.861 3.963 4.574 4.723 4.055 3.976 6.044 5.218 4.637 4.932 4.348 5.383 4.108 3.933 4.371 35.478
4.471 5.158 4.267 5.975 4.922 6.475 6.663 5.931 5.62 6.122 4.918 5.451 5.371 4.733 5.597 6.514 5.277 5.608 5.282 5.82 4.512 6.183 5.673 4.341 5.844 33.192
5.482 6.667 6.815 6.369 4.828 6.288 6.281 6.17 7.647 6.868 6.131 5.478 5.192 4.519 5.96 6.347 5.093 6.045 6.346 5.85 5.872 5.763 4.985 6.095 6.989 37.665
3.92 3.13 3.878 3.609 4.445 4.986 3.109 3.733 4.547 4.544 2.027 3.934 5.084 4.693 4.273 4.22 4.283 4.203 4.935 3.923 4.041 5.622 5.661 3.979 4.195 25.658
4.697 4.611 4.851 5.552 3.506 3.608 4.46 3.683 5.86 4.489 4.798 4.474 4.568 4.129 3.897 5.027 4.123 3.736 3.079 5.338 4.728 3.292 5.275 3.287 4.413 31.033
3.842 4.212 4.545 4.567 3.518 3.869 4.312 3.999 4.426 5.439 4.584 4.589 4.12 4.207 3.906 4.711 3.98 3.246 3.73 4.374 3.419 4.58 4.328 3.811 4.283 33.361
3.589 3.58 4.112 3.762 3.961 4.613 2.757 3.972 4.351 4.995 2.841 4.62 3.648 3.76 3.968 4.086 4.554 3.042 3.707 5.102 4.802 3.156 3.974 3.546 4.192 30.175
5.258 6.209 5.498 6.17 4.987 5.519 4.618 4.194 4.563 5.096 5.859 3.874 4.625 4.071 5.066 5.162 6.011 6.324 5.645 4.071 4.038 5.354 4.305 5.345 4.579 35.804
4.675 4.493 4.76 4.6 6.695 5.081 6.426 4.897 6.221 5.866 4.558 5.513 5.631 5.866 5.514 4.668 6.821 5.379 5.446 5.701 5.459 5.243 6.1 5.286 5.878 31.269
6.012 5.822 5.499 5.889 6.07 6.988 5.184 7.125 5.817 5.119 4.783 6.284 6.41 4.568 6.275 6.642 4.573 5.637 5.655 6.833 5.455 5.429 5.66 6.761 6.164 32.331
5.446 5.517 5.071 5.689 5.351 5.866 5.936 6.194 6.234 4.839 6.761 5.544 5.615 4.281 5.019 6.09 5.892 8.023 6.102 5.256 6.185 5.963 6.136 6.001 4.822 34.733
3.695 3.698 4.478 3.877 3.68 5.388 3.823 4.359 4.086 4.675 3.618 4.185 3.644 4.371 4.689 4.303 3.1 4.733 5.416 4.503 4.092 4.41 4.666 5.111 4.312 30.624
6.016 7.124 5.946 6.534 5.839 6.199 6.271 6.535 6.869 5.729 6.986 6.054 4.76 7.789 6.537 6.285 6.2 6.229 6.328 7.192 6.553 5.826 5.447 6.285 6.789 38.472
5.718 4.783 3.213 4.317 4.584 4.926 4.084 3.664 4.745 5.493 6.072 4.581 5.508 3.584 5.361 4.059 4.141 3.633 6.439 4.394 3.664 5.002 3.519 4.134 3.363 33.378
4.222 5.708 5.076 5.606 5.39 5.074 4.333 4.587 5.102 4.258 5.822 3.987 4.486 5.712 4.905 5.234 6.746 5.002 4.788 5.149 5.846 5.316 5.168 6.453 2.93 40.335
5.949 3.721 3.61 5.187 4.736 4.542 4.178 3.653 5.87 4.889 4.893 3.742 4.838 4.512 5.215 5.142 5.297 4.51 5.615 4.522 4.548 3.823 3.92 5.097 5.378 27.795
5.213 3.589 4.781 5.249 5.761 4.697 4.75 4.688 3.714 6.475 5.669 4.191 5.558 4.543 5.648 4.306 4.997 5.412 4.07 5.456 4.545 4.759 4.568 4.586 5.57 34.293
6.336 5.816 4.843 5.398 5.722 4.289 5.261 4.286 4.87 4.331 5.891 4.876 4.562 4.659 4.759 4.47 5.764 4.516 4.938 4.915 4.719 4.817 6.217 6.002 6.137 35.676
4.155 5.507 6.625 3.471 6.254 6.037 3.92 5.85 4.55 4.068 4.826 4.809 5.043 4.242 5.349 4.925 4.301 5.435 4.329 5.033 6.858 6.433 5.659 4.943 4.526 38.407
5.437 5.011 5.472 5.229 4.111 4.165 5.326 4.547 5.109 5.272 4.476 4.46 4.052 6.507 5.575 6.156 6.285 5.04 4.621 4.422 5.447 4.164 4.62 4.129 4.914 35.273
5.302 6.965 6.261 5.418 4.622 5.139 5.833 4.017 5.541 4.044 6.183 5.112 5.414 5.085 4.388 4.454 4.43 5.432 3.895 4.357 5.477 4.147 4.32 5.271 5.841 39.455
4.894 5.164 4.203 4.172 4.126 4.912 4.749 4.568 5.118 4.385 4.794 5.043 3.036 4.259 5.133 4.171 4.969 5.243 4.78 3.943 5.569 4.88 3.955 3.86 6.321 33
5.226 4.435 3.724 4.324 4.449 3.495 3.961 5.235 4.494 4.359 4.524 3.406 5.186 4.024 4.905 6.576 4.388 5.849 4.939 4.307 4.472 5.396 4.415 5.808 4.012 32.735
4.481 3.64 3.626 6.412 2.92 3.319 3.302 4.286 2.377 3.504 2.681 3.805 4.099 4.603 3.645 4.807 2.402 4.682 4.126 3.473 4.013 3.921 3.651 3.722 3.556 31.902
4.697 4.664 5.993 3.848 4.564 4.966 4.577 4.929 3.922 5.632 5.227 3.854 6.163 4.414 3.808 5.28 4.019 4.451 4.377 4.503 5.142 4.755 4.483 3.55 6.289 31.335
5.114 5.352 4.098 4.494 4.63 4.39 5.188 4.428 4.227 4.36 6.397 6.179 4.604 4.232 3.867 3.388 3.866 4.321 4.296 2.73 5.024 6.354 4.768 4.234 5.22 36.891
7.6 7.336 6.756 7.301 7.569 6.235 7.105 6.069 6.285 8.237 6.207 6.918 7.323 7.17 6.852 7.688 6.762 6.742 6.473 6.449 6.77 6.826 7.089 7.073 6.875 50.385
2.784 4.376 3.671 4.291 4.137 3.937 3.579 3.498 3.601 4.333 3.645 4.599 3.429 4.212 3.96 4.117 5.347 3.458 3.3 4.486 5.152 3.291 3.241 5.908 4.094 28.882
4.928 5.305 5.586 4.889 5.41 4.868 4.847 6.212 5.26 5.436 6.212 3.782 4.331 5.094 5.439 3.796 5.01 4.645 5.856 4.999 4.316 4.121 5.461 5.867 5.805 35.663
4.167 2.354 5.227 4.779 4.683 4.09 3.827 4.732 3.945 3.649 3.296 4.009 3.654 3.434 2.84 3.335 4.422 4.124 4.631 4.618 3.995 3.369 3.736 3.837 3.321 26.608
2.397 4.135 5.038 3.958 3.181 4.147 5.229 3.494 3.857 3.63 4.168 4.098 3.64 3.922 2.672 4.161 3.59 5.239 3.696 4.081 5.358 3.487 3.323 4.095 3.894 29.122
5.297 3.668 5.51 4.947 6.461 4.387 4.13 5.529 5.865 4.868 4.766 5.962 6.918 4.572 4.993 4.326 4.926 5.696 4.82 5.738 5.803 4.45 4.246 4.179 5.192 30.249
5.432 4.904 4.638 4.305 3.901 4.188 3.598 4.707 3.725 3.885 4.305 5.898 4.552 4.194 4.019 3.171 3.114 5.291 4.379 4.545 5.449 3.232 3.567 4.255 3.777 32.672
4.93 5.29 5.008 5.009 5.582 5.14 4.879 4.632 4.582 4.915 5.351 5.635 5.51 5.176 5.246 4.237 4.273 4.912 5.251 5.256 4.235 5.178 5.049 5.627 4.064 32.096
6.48 4.243 3.527 5.184 4.005 4.922 5.911 5.21 5.057 4.458 4.276 4.968 3.887 4.735 3.253 4.069 5.245 4.793 4.801 4.89 4.131 5.513 4.183 3.855 5.683 31.425
4.067 4.107 5.156 5.026 5.249 3.808 5.286 3.723 5.301 4.82 4.206 3.883 5.015 3.082 4.049 4.65 4.588 4.958 4.763 5.326 4.828 5.631 4.113 4.156 4.145 33.197
4.318 2.424 2.425 2.635 3.296 3.8 3.035 3.21 3.803 3.685 3.411 3.583 3.96 3.456 4.517 3.508 3.872 4.715 4.747 3.023 3.182 2.718 4.022 4.006 3.149 26.412
4.671 4.647 3.489 3.721 4.622 3.168 3.817 4.434 3.71 4.725 5.03 4.684 4.347 3.837 3.553 4.467 3.246 4.144 4.098 3.761 4.046 4.559 5.097 2.749 4.297 34.656
5.239 4.686 5.221 4.204 4.543 5.85 5.525 4.45 5.713 5.876 5.704 4.521 4.983 5.866 5.535 3.078 5.054 6.26 5.66 5.449 4.541 5.788 4.694 4.086 5.709 32.827
5.289 5.863 6.261 4.787 4.052 5.48 5.682 4.876 5.431 5.481 4.828 5.969 5.802 6.379 4.881 5.806 6.395 5.728 5.375 5.847 3.999 4.865 6.106 4.436 5.614 35.721
4.843 5.771 5.855 3.418 4.886 3.186 4.201 5.499 4.321 4.489 4.457 4.803 4.144 3.445 4.941 4.822 4.602 5.003 3.652 3.111 4.985 4.896 4.856 5.885 6.044 34.196
